,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,class
0,0.0,0.0,0.0,0.0,0.0,0.4325170987765317,0.0210983950622698,0.0035163991770449,0.0035163991770449,0.0,0.0,0.0002461479423931,0.0,0.8966817901464683,0.0914263786031693,0.0001758199588522,0.0,0.0,0.0035163991770449,0.0035163991770449,0.0,0.0,0.0,0.0035163991770449,0.0,0.0,0.0,0.0,0.0035163991770449,0.0,0.0,0.0,0.0035163991770449,1
1,0.0,0.0,0.0,0.0,0.0,0.4267472637998934,0.0670099009272559,0.0,0.0,0.0035268368909082,0.0035268368909082,0.0002116102134544,0.0,0.8993434071815936,0.0670099009272559,0.0002468785823635,0.0,0.0,0.0,0.0,0.0035268368909082,0.0035268368909082,0.0,0.0035268368909082,0.0,0.0,0.0,0.0,0.0035268368909082,0.0,0.0035268368909082,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.5450685257701662,0.0295519080236837,0.0032835453359648,0.0032835453359648,0.0,0.0,0.0001970127201578,0.0,0.8373040606710385,0.0295519080236837,0.0001641772667982,0.0,0.0,0.0032835453359648,0.0032835453359648,0.0,0.0,0.0,0.0032835453359648,0.0,0.0,0.0,0.0,0.0032835453359648,0.0,0.0,0.0,0.0032835453359648,1
3,0.0,0.0,0.0,0.0,0.0,0.4157360645351987,0.0568527951501126,0.003553299696882,0.003553299696882,0.0,0.0,0.0002131979818129,0.0,0.9060914227049204,0.0532994954532306,0.0002487309787817,0.0,0.0,0.003553299696882,0.003553299696882,0.0,0.0,0.0,0.003553299696882,0.0,0.0,0.0,0.0,0.003553299696882,0.0,0.0,0.0,0.003553299696882,1
4,0.0,0.0,0.0,0.0,0.0,0.724222400464449,0.0616930192988234,0.0026823051869053,0.0026823051869053,0.0,0.0,0.0001341152593452,0.0,0.6839878226608685,0.0616930192988234,0.0001341152593452,0.0,0.0,0.0026823051869053,0.0026823051869053,0.0,0.0,0.0,0.0026823051869053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026823051869053,1
5,0.0,0.0,0.0,0.0,0.0,0.4617776826598418,0.027776101212622,0.0034720126515777,0.0034720126515777,0.0,0.0,0.0002083207590946,0.0,0.8853632261523284,0.0451361644705108,0.0002083207590946,0.0,0.0,0.0034720126515777,0.0034720126515777,0.0,0.0,0.0,0.0034720126515777,0.0,0.0,0.0,0.0,0.0034720126515777,0.0,0.0,0.0,0.0034720126515777,1
6,0.0,0.0,0.0,0.0,0.0,0.625695341248716,0.0366260687560224,0.0,0.0,0.0030521723963352,0.0030521723963352,0.0001831303437801,0.0,0.778303961065476,0.0366260687560224,0.0002136520677434,0.0,0.0,0.0,0.0,0.0030521723963352,0.0030521723963352,0.0,0.0030521723963352,0.0,0.0,0.0,0.0,0.0030521723963352,0.0,0.0030521723963352,0.0,0.0,1
7,0.0,0.0,0.0,0.0,0.0,0.6146807613058576,0.0092665441402893,0.0030888480467631,0.0030888480467631,0.0,0.0,0.0001853308828057,0.0,0.7876562519245913,0.0401550246079203,0.0002162193632734,0.0,0.0,0.0030888480467631,0.0030888480467631,0.0,0.0,0.0,0.0030888480467631,0.0,0.0,0.0,0.0,0.0030888480467631,0.0,0.0,0.0,0.0030888480467631,1
8,0.0,0.0,0.0,0.0,0.0,0.6745184349366186,0.0028949289053073,0.0028949289053073,0.0028949289053073,0.0,0.0,0.0001736957343184,0.0,0.7382068708533808,0.0028949289053073,0.0002026450233715,0.0,0.0,0.0028949289053073,0.0028949289053073,0.0,0.0,0.0,0.0028949289053073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028949289053073,1
9,0.0,0.0,0.0,0.0,0.0,0.3516978211719556,0.0586163035286592,0.0036635189705412,0.0036635189705412,0.0,0.0,0.000183175948527,0.0,0.9341973374880072,0.0073270379410824,0.0002198111382324,0.0,0.0,0.0036635189705412,0.0036635189705412,0.0,0.0,0.0,0.0036635189705412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036635189705412,1
10,0.0,0.0,0.0,0.0,0.0,0.6552618962940188,0.0675830655370512,0.0029383941537848,0.0029383941537848,0.0,0.0,0.0001469197076892,0.0,0.7492905092151335,0.0675830655370512,0.0001469197076892,0.0,0.0,0.0029383941537848,0.0029383941537848,0.0,0.0,0.0,0.0029383941537848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029383941537848,1
11,0.0,0.0,0.0,0.0,0.0,0.7602943445225179,0.0461607280602957,0.0027153369447232,0.0027153369447232,0.0,0.0,0.0001357668472361,0.0,0.6462501928441402,0.0461607280602957,0.0001629202166833,0.0,0.0,0.002688183575276,0.0027153369447232,0.0,0.0,0.0,0.0027153369447232,0.0,0.0,0.0,0.0,0.0027153369447232,0.0,0.0,0.0,0.0027153369447232,1
