f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,class
0.0,0.9981271148699594,0.0,0.0,0.0029884045355388,0.0059768090710776,0.0059768090710776,0.0,0.0,0.0,0.0,0.0,0.0,0.0059768090710776,0.059768090710776,0.0,0.0029884045355388,0.0005976809071077,0.0,0.0,0.0,0.0,0.0,0.0029884045355388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.0,0.9934536726514356,0.0,0.0,0.0029744121935671,0.0059488243871343,0.0059488243871343,0.0,0.0,0.0,0.0,0.0,0.0,0.0118976487742686,0.1130276633555525,0.0,0.0029744121935671,0.000535394194842,0.0,0.0,0.0,0.0,0.0,0.0029744121935671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.0,0.9967572268872608,0.0,0.0,0.0029843030745127,0.0059686061490255,0.0059686061490255,0.0,0.0,0.0,0.0,0.0,0.0,0.0179058184470765,0.0775918799373316,0.0,0.0029843030745127,0.0005670175841574,0.0,0.0,0.0,0.0,0.0,0.0029843030745127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.9965109576787944,0.023008037152027,0.077898640071863,0.0,6.573724900579157e-05,6.573724900579157e-05,0.0001314744980115,0.0,0.0,0.0,0.0,0.0,6.573724900579157e-05,0.0167629984964768,0.0093346893588224,1.3147449801158315e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.573724900579157e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.004804854089292,0.9994096505727508,0.0,0.0,0.001201213522323,0.001201213522323,0.001201213522323,0.0,0.0,0.0,0.0,0.0,0.0,0.003603640566969,0.0336339786250444,0.0,0.001201213522323,0.0002162184340181,0.0,0.0,0.0,0.0,0.0,0.001201213522323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.0009827676614664,0.9999995170479302,0.0,0.0,1.9487758506175485e-07,1.9487758506175485e-07,1.3641430954322838e-06,0.0,2.7282861908645683e-08,0.0,0.0,0.0,5.65144996679089e-08,1.3641430954322838e-06,8.184858572593703e-06,0.0,1.9487758506175485e-07,2.7282861908645683e-08,0.0,3.897551701235097e-09,0.0,0.0,0.0,1.9487758506175485e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.0003622381945214,0.4484508848175543,0.8878458147720724,0.0,0.0003622381945214,0.0003622381945214,0.0003622381945214,0.0,0.0,0.0,0.0,0.0,0.0,0.0923707396029695,0.0445552979261382,7.244763890428987e-06,0.0,0.0,0.0,0.0,3.6223819452144936e-06,0.0,0.0,0.0003622381945214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.0,0.9986622967013442,0.0,0.0,0.0029900068763513,0.0029900068763513,0.0029900068763513,0.0,0.0,0.0,0.0,0.0,0.0,0.0029900068763513,0.0508301168979726,0.0,0.0029900068763513,0.0007176016503243,0.0,0.0,0.0,0.0,0.0,0.0029900068763513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.0,0.4524981505427887,0.8872583735843002,0.0,0.0003619985204342,0.0003619985204342,0.0003619985204342,0.0,0.0,0.0,0.0,0.0,0.0,0.0857936493429127,0.023529903828225,7.23997040868462e-06,0.0,0.0,0.0,0.0,3.61998520434231e-06,0.0,0.0,0.0003619985204342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l
0.0,0.5722738251018941,0.8194961175459122,0.0,0.0,0.0045781906008151,0.0045781906008151,0.0,0.0,0.0045781906008151,0.0045781906008151,0.0,0.0,0.0183127624032606,0.0183127624032606,0.0,0.0011445476502037,0.0,0.0011445476502037,0.0011445476502037,0.0034336429506113,0.0034336429506113,0.0,0.0045781906008151,0.0,0.0,0.0,0.0,0.0,0.0045781906008151,0.0,0.0,0.0,r2l
